Reaction	Isozyme	Gene	Stoichiometry	Confidence
R_rxn05164_c	1	PN9608425	1	0
R_rxn08816_c	1	PN9613925	1	0
R_rxn02159_c	1	PN9607795	2	1
R_rxn02503_c	1	PN9601390	2	1
R_rxn02503_c	2	PN9611425	2	1
R_rxn00095_c	1	PN9611650	1	1
R_rxn00929_c	1	PN9600825	1	1
R_rxn08180_c	1	PN9607910	2	1
R_rxn01986_c	1	PN9601750	1	1
R_rxn00247_c	1	PN9612720	1	1
R_rxn10125_c	1	PN9620540	1	1
R_rxn10125_c	1	PN9620535	1	1
R_rxn10256_c	1	PN9612395	2	1
R_rxn10256_c	2	PN9617840	2	1
R_rxn03147_c	1	PN9602425	3	1
R_rxn03147_c	2	PN9607275	3	1
R_rxn00038_c	1	PN9621190	1	0
R_rxn11703_c	1	PN9608905	1	1
R_rxn00190_c	1	PN9618815	6	1
R_rxn00966_c	1	PN9614030	1	1
R_rxn00321_c	1	PN9614355	4	1
R_rxn05654_c	1	PN9609010	1	0
R_rxn05654_c	2	PN9620165	1	0
R_rxn05654_c	3	PN9620350	1	0
R_rxn05654_c	4	PN9622025	1	0
R_rxn00117_c	1	PN9610485	4	1
R_rxn00558_c	1	PN9614920	2	1
R_rxn00159_c	1	PN9607295	4	1
R_rxn00555_c	1	PN9608920	2	1
R_rxn00973_c	1	PN9601430	1	0
R_rxn08615_c	1	PN9608300	1	0
R_rxn00913_c	1	PN9607525	1	0
R_rxn00913_c	2	PN9609695	1	0
R_rxn06805_c	1	PN9604075	1	0
R_rxn07902_c	1	PN9618345	2	1
R_rxn00347_c	1	PN9614275	4	1
R_rxn00347_c	2	PN9619470	4	1
R_rxn10267_c	1	PN9610085	1	0
R_rxn10267_c	2	PN9616670	1	0
R_rxn00785_c	1	PN9600890	2	1
R_rxn00785_c	2	PN9618160	2	1
R_rxn08521_c	1	PN9609125	2	1
R_rxn05582_c	1	PN9605125	1	0
R_rxn05582_c	2	PN9610385	1	0
R_rxn05582_c	3	PN9611015	1	0
R_rxn10233_c	1	PN9614450	1	0
R_rxn01961_c	1	PN9607525	1	0
R_rxn01961_c	2	PN9609695	1	0
R_rxn02465_c	1	PN9614795	1	1
R_rxn00747_c	1	PN9612085	2	1
R_rxn00392_c	1	PN9610880	1	1
R_rxn00604_c	1	PN9605280	1	1
R_rxn00604_c	2	PN9621670	1	1
R_rxn10259_c	1	PN9603990	1	0
R_rxn09265_c	1	PN9622835	1	0
R_rxn00248_c	1	PN9611695	1	1
R_rxn01975_c	1	PN9605280	1	1
R_rxn01975_c	2	PN9621670	1	1
R_rxn00612_c	1	PN9614420	2	1
R_rxn00493_c	1	PN9607790	2	1
R_rxn00493_c	2	PN9617550	2	1
R_rxn00493_c	3	PN9623215	2	1
R_rxn00154_c	1	PN9601340	1	1
R_rxn00154_c	1	PN9601345	1	1
R_rxn00154_c	1	PN9601335	1	1
R_rxn05289_c	1	PN9607325	2	1
R_rxn05289_c	2	PN9621770	2	1
R_rxn01454_c	1	PN9619245	1	0
R_rxn03445_c	1	PN9607345	2	1
R_rxn05152_c	1	PN9604930	1	0
R_rxn00113_c	1	PN9601070	4	1
R_rxn08335_c	1	PN9605605	1	1
R_rxn03537_c	1	PN9606820	3	1
R_rxn10113_c	1	PN9621425	2	1
R_rxn10113_c	1	PN9621415	2	1
R_rxn10113_c	1	PN9621420	2	1
R_rxn10113_c	1	PN9621430	2	1
R_rxn00214_c	1	PN9615935	2	1
R_rxn00214_c	2	PN9620615	2	1
R_rxn00214_c	3	PN9622140	2	1
R_rxn00216_c	1	PN9622390	1	1
R_rxn05616_c	1	PN9601940	1	0
R_rxn21856_c	1	PN9603495	2	1
R_rxn21856_c	2	PN9620380	2	1
R_rxn01304_c	1	PN9605065	2	1
R_rxn03909_c	1	PN9610080	2	1
R_rxn00405_c	1	PN9616870	4	1
R_rxn00713_c	1	PN9603440	4	1
R_rxn00907_c	1	PN9609125	2	1
R_rxn00758_c	1	PN9616795	2	1
R_rxn00471_c	1	PN9615855	1	0
R_rxn00471_c	2	PN9618395	1	0
R_rxn02507_c	1	PN9603915	1	1
R_rxn00623_c	1	PN9614955	8	1
