EN_Reaction,Protein,GuessedStoichiometry,SubunitID
R02272,WP_014232904.1,2,
R02283,WP_014233192.1,2,
R02285,WP_020333029.1,1,
R02288,WP_014231607.1,1,
R02291,WP_014232557.1,2,
R02291,WP_020334567.1,2,
R02294,WP_014232864.1,6,
R02294,WP_014234920.1,6,
R02295,WP_014232864.1,6,
R02295,WP_014234920.1,6,
R02296,WP_014233458.1,1,
R02297,WP_014232864.1,6,
R02297,WP_014233458.1,1,
R02297,WP_014234920.1,6,
R02300,WP_020334943.1,1,
R02323,WP_020332984.1,1,
R02323,WP_020333325.1,1,
R02323,WP_020334911.1,1,
R02323,WP_024372917.1,1,
R02323,WP_024372975.1,1,
R02326,WP_014230937.1,4,
R02328,WP_020335762.1,1,
R02331,WP_014230937.1,4,
R02408,WP_020332971.1,4,
R02408,WP_020335210.1,2,
R02412,WP_014233147.1,1,
R02413,WP_020333538.1,2,
R02413,WP_020334240.1,2,
R02472,WP_020334303.1,1,
R02472,WP_020336380.1,1,
R02473,WP_020333938.1,2,
R02484,WP_014232864.1,6,
R02484,WP_014234920.1,6,
R02508,WP_020334622.1,4,
R02519,WP_020333140.1,1,
R02521,WP_020333139.1,1,
R02539,WP_020333764.1,1,
R02539,WP_020334282.1,1,
R02549,WP_020333868.1,1,
R02556,WP_020336291.1,1,
R02557,WP_014232864.1,6,
R02557,WP_014234920.1,6,
R02566,WP_020333793.1,4,
R02601,WP_014231727.1,1,
R02649,WP_014233158.1,2,
R02678,WP_020333868.1,1,
R02719,WP_020332984.1,1,
R02719,WP_020333325.1,1,
R02719,WP_020334911.1,1,
R02719,WP_024372917.1,1,
R02719,WP_024372975.1,1,
R02734,WP_020333618.1,2,
R02735,WP_020334060.1,2,
R02736,WP_014231951.1,1,
R02736,WP_020336052.1,1,
R02739,WP_020334604.1,2,
R02740,WP_020334604.1,2,
R02748,WP_014232864.1,6,
R02748,WP_014234920.1,6,
R02777,WP_020335758.1,1,
R02864,WP_020333312.1,1,
R02864,WP_020335811.1,1,
R02914,WP_020334090.1,1,
R02940,WP_020333868.1,1,
R02957,WP_020333868.1,1,
R02971,WP_020334016.1,1,
R03005,WP_014234741.1,1,
R03018,WP_020334016.1,1,
R03026,WP_020334274.1,1,
R03035,WP_020335722.1,6,
R03045,WP_020334274.1,1,
R03051,WP_020336240.1,4,
R03066,WP_020333908.1,2,
R03067,WP_020333908.1,2,
R03083,WP_020334612.1,1,
R03084,WP_014233259.1,12,
R03084,WP_020334239.1,12,
R03165,WP_014233341.1,1,
R03181,WP_020333142.1,1,
R03194,WP_014233342.1,5,
R03194,WP_020334837.1,1,
R03194,WP_020335811.1,1,
R03194,WP_024372592.1,1,
R03197,WP_020334704.1,2,
R03217,WP_020334622.1,4,
R03220,WP_020333539.1,2,
R03223,WP_020333406.1,1,
R03223,WP_020335109.1,1,
R03260,WP_020334622.1,4,
R03269,WP_020335718.1,12,
R03283,WP_020333868.1,1,
R03291,WP_020333888.1,1,
R03291,WP_020334000.1,1,
R03293,WP_020333888.1,1,
R03293,WP_020334000.1,1,
R03313,WP_020333697.1,2,
R03321,WP_020334604.1,2,
R03346,WP_020332984.1,1,
R03346,WP_020333325.1,1,
R03346,WP_020334911.1,1,
R03346,WP_024372917.1,1,
R03346,WP_024372975.1,1,
R03348,WP_020333946.1,2,
R03425,WP_020334947.1,1,
R03443,WP_020334620.1,1,
R03458,WP_020333698.1,2,
R03459,WP_020333698.1,2,
R03460,WP_014231325.1,1,
R03471,WP_020335114.1,1,
R03503,WP_014232935.1,1,
R03503,WP_020335867.1,1,
R03504,WP_014230757.1,8,
R03508,WP_020335572.1,1,
R03509,WP_020335572.1,1,
R03530,WP_014230937.1,4,
R03778,WP_061778630.1,1,
R03815,WP_014232944.1,2,
R03815,WP_020336079.1,2,
R03858,WP_061778630.1,1,
R03869,WP_020333868.1,1,
R03947,WP_020333312.1,1,
R03947,WP_020335811.1,1,
R03991,WP_061778630.1,1,
R04065,WP_020333868.1,1,
R04095,WP_014233971.1,1,
R04095,WP_020336015.1,1,
R04097,WP_020334966.1,1,
R04109,WP_020333322.1,2,
R04125,WP_020334943.1,1,
R04137,WP_020334274.1,1,
R04138,WP_020333781.1,1,
R04138,WP_020333783.1,1,
R04138,WP_020336017.1,1,
R04144,WP_014233273.1,1,
R04148,WP_020333105.1,2,
R04170,WP_020334274.1,1,
R04173,WP_031779177.1,2,
R04198,WP_020335893.1,4,
R04199,WP_020335893.1,4,
R04204,WP_020334274.1,1,
R04208,WP_014232732.1,2,
R04210,WP_020334568.1,2,
R04224,WP_020334274.1,1,
R04231,WP_020335718.1,12,
R04241,WP_020334565.1,1,
R04292,WP_020332896.1,1,
R04325,WP_014232733.1,1,
R04326,WP_014232733.1,1,
R04365,WP_014232822.1,3,
R04391,WP_020334016.1,1,
R04405,WP_014233963.1,1,
R04405,WP_020335577.1,1,
R04426,WP_020335844.1,2,
R04439,WP_020336240.1,4,
R04440,WP_020336240.1,4,
R04441,WP_020333559.1,2,
R04444,WP_020335027.1,2,
R04444,WP_024372956.1,2,
R04445,WP_020335027.1,2,
R04445,WP_024372956.1,2,
R04448,WP_020335110.1,1,
R04457,WP_014231012.1,60,
R04463,WP_020333690.1,1,
R04475,WP_014233192.1,2,
R04506,WP_020333868.1,1,
R04509,WP_020335114.1,1,
R04546,WP_061778630.1,1,
R04549,WP_024372839.1,1,
R04550,WP_020335141.1,3,
R04559,WP_014231477.1,4,
R04560,WP_020334699.1,1,
R04567,WP_020335139.1,3,
R04587,WP_014230807.1,1,
R04591,WP_020333021.1,3,
R04594,WP_014231643.1,1,
R04606,WP_020335138.1,1,
R04620,WP_020333020.1,1,
R04620,WP_020334555.1,1,
R04638,WP_020334772.1,1,
R04639,WP_014233818.1,10,
R04657,WP_020332849.1,1,
R04658,WP_020335728.1,1,
R04738,WP_020334274.1,1,
R04740,WP_020334274.1,1,
R04742,WP_061778630.1,1,
R04744,WP_020334274.1,1,
R04746,WP_020334274.1,1,
R04747,WP_061778630.1,1,
R04749,WP_020334274.1,1,
R04779,WP_014233238.1,4,
R04780,WP_020335825.1,4,
R04780,WP_024372772.1,2,
R04903,WP_020333868.1,1,
R04928,WP_020335741.1,1,
R04928,WP_020335813.1,1,
R04941,WP_020332971.1,4,
R04941,WP_020335210.1,2,
R04944,WP_020334622.1,4,
R04945,WP_020334622.1,4,
R04946,WP_020334622.1,4,
R04972,WP_020334704.1,2,
R05046,WP_014233818.1,10,
R05048,WP_014233818.1,10,
R05050,WP_020333868.1,1,
R05051,WP_020335027.1,2,
R05051,WP_024372956.1,2,
R05068,WP_020336240.1,4,
R05069,WP_020336240.1,4,
R05070,WP_020333559.1,2,
R05071,WP_020336240.1,4,
R05074,WP_020335728.1,1,
R05075,WP_020335730.1,1,
R05085,WP_031779177.1,2,
R05086,WP_020335912.1,1,
R05146,WP_020335717.1,1,
R05146,WP_020336383.1,1,
R05176,WP_020335731.1,5,
R05220,WP_014232502.1,1,
R05221,WP_020333107.1,2,
R05222,WP_020333107.1,2,
R05223,WP_020333106.1,1,
R05225,WP_020334862.1,1,
R05237,WP_020333868.1,1,
R05238,WP_020333868.1,1,
R05286,WP_020333868.1,1,
R05292,WP_020334210.1,1,
R05309,WP_020334210.1,1,
R05314,WP_020334210.1,1,
R05332,WP_014233410.1,3,
R05506,WP_061778630.1,1,
R05576,WP_020334276.1,1,
R05578,WP_020333333.1,1,
R05586,WP_061778630.1,1,
R05595,WP_020334274.1,1,
R05605,WP_020335092.1,3,
R05605,WP_020336248.1,3,
R05633,WP_020333970.1,2,
R05634,WP_020333321.1,2,
R05636,WP_014231016.1,2,
R05637,WP_014232982.1,3,
R05644,WP_014230770.1,2,
R05645,WP_014232735.1,4,
R05646,WP_014230770.1,2,
R05647,WP_020333715.1,1,
R05681,WP_020335840.1,2,
R05688,WP_020335145.1,2,
R05837,WP_020335840.1,2,
R05838,WP_020333976.1,8,
R05884,WP_020335931.1,2,
R06366,WP_020333868.1,1,
R06411,WP_020334274.1,1,
R06412,WP_020334274.1,1,
R06513,WP_020335757.1,1,
R06514,WP_020335761.1,2,
R06529,WP_020335899.1,1,
R06558,WP_020333107.1,2,
R06590,WP_020333990.1,1,
R06590,WP_020334176.1,1,
R06785,WP_020333181.1,1,
R06787,WP_020333211.1,1,
R06788,WP_020333212.1,4,
R06789,WP_020333213.1,2,
R06895,WP_020336290.1,1,
R06941,WP_020334276.1,1,
R06942,WP_020334274.1,1,
R06977,WP_020334091.1,1,
R06977,WP_020335559.1,1,
R06977,WP_020336356.1,1,
R06978,WP_020336357.1,1,
R06979,WP_014235031.1,1,
R06979,WP_020336355.1,1,
R07136,WP_014230708.1,2,
R07268,WP_014232502.1,1,
R07280,WP_020334058.1,1,
R07281,WP_014231011.1,2,
R07281,WP_014233750.1,2,
R07302,WP_020335899.1,1,
R07396,WP_014232358.1,2,
R07396,WP_024372863.1,2,
R07404,WP_020333541.1,2,
R07405,WP_005394016.1,8,
R07406,WP_020335840.1,2,
R07409,WP_020335442.1,1,
R07599,WP_020334975.1,1,
R07600,WP_020334975.1,1,
R07601,WP_020334975.1,1,
R07602,WP_020334975.1,1,
R07603,WP_020334975.1,1,
R07604,WP_020334975.1,1,
R07618,WP_014232944.1,2,
R07618,WP_020336079.1,2,
R07766,WP_014231043.1,1,
R07767,WP_014231042.1,1,
R07769,WP_014231043.1,1,
R07891,WP_061778630.1,1,
R07895,WP_061778630.1,1,
R07899,WP_061778630.1,1,
R08090,WP_020333780.1,1,
R08090,WP_020336020.1,1,
R08091,WP_061778630.1,1,
R08093,WP_020334274.1,1,
R08095,WP_061778630.1,1,
R08146,WP_020333868.1,1,
R08210,WP_020335931.1,2,
R08368,WP_014232864.1,6,
R08368,WP_014234920.1,6,
R08549,WP_014232944.1,2,
R08549,WP_020336079.1,2,
R08639,WP_020334023.1,1,
R08689,WP_014230940.1,1,
R09099,WP_014234563.1,2,
R09099,WP_020333718.1,2,
R09099,WP_020334946.1,2,
R09365,WP_014233963.1,1,
R09365,WP_020335577.1,1,
R09394,WP_014232532.1,1,
R09489,WP_020333588.1,4,
R09726,WP_014232531.1,6,
R09735,WP_020333259.1,2,
R09735,WP_020334183.1,2,
R09763,WP_020335728.1,1,
R09768,WP_014232735.1,4,
R09769,WP_014232735.1,4,
R09771,WP_020333715.1,1,
R09800,WP_014233710.1,1,
R09801,WP_020334094.1,1,
R09805,WP_020334092.1,1,
R09820,WP_020334266.1,1,
R09836,WP_020334266.1,1,
R09837,WP_020334275.1,1,
R09839,WP_020334275.1,1,
R09839,WP_061778630.1,1,
R10052,WP_020335844.1,2,
R10147,WP_020333621.1,4,
R10147,WP_020333881.1,4,
R10178,WP_020336055.1,1,
R10221,WP_014231949.1,2,
R10221,WP_020336051.1,2,
R10244,WP_014232864.1,6,
R10244,WP_014234920.1,6,
R10612,WP_020335782.1,1,
R10712,WP_020333406.1,1,
R10712,WP_020335109.1,1,
R10845,WP_014232358.1,2,
R10845,WP_024372863.1,2,
R10859,WP_014230940.1,1,
R10907,WP_014231951.1,1,
R10907,WP_020336052.1,1,
R10991,WP_014234314.1,6,
R10996,WP_020334975.1,1,
R10997,WP_020334975.1,1,
R11037,WP_014230757.1,8,
R11073,WP_014230757.1,8,
R11173,WP_014231643.1,1,
R11174,WP_020333106.1,1,
R11319,WP_014231127.1,1,
R11329,WP_020333364.1,1,
R11372,WP_014232530.1,6,
R11765,WP_014230714.1,1,
