Reaction;Protein;Stoichiometry;Subunit;Notes;RHEA_ID;Equation;KEGG
R09801;WP_020334094.1;1;;;40954;(2S)-2-acetamido-4-aminobutanoate+H2O<=>L-2,4-diaminobutanoate+acetate;N(alpha)-Acetyl-L-2,4-diaminobutyrate + H2O -> Acetate + L-2,4-Diaminobutanoate
R09805;WP_020334092.1;1;;;45767;L-aspartate4-semialdehyde+NAD(+)+H2O<=>L-aspartate+NADH+2H(+);H2O + NAD+ + L-Aspartate 4-semialdehyde -> L-Aspartate + H+ + NADH
R09820;WP_020334266.1;1;;;31750;3-oxo-5,6-dehydrosuberyl-CoAsemialdehyde+NADP(+)+H2O<=>3-oxo-5,6-didehydrosuberyl-CoA+NADPH+2H(+);3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde + NADP+ + H2O -> H+ + 3-Oxo-5,6-dehydrosuberyl-CoA + NADPH
R09836;WP_020334266.1;1;;;31758;2-oxepin-2(3H)-ylideneacetyl-CoA+H2O<=>3-oxo-5,6-dehydrosuberyl-CoAsemialdehyde;2-Oxepin-2(3H)-ylideneacetyl-CoA + H2O <- 3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde
R09837;WP_020334275.1;1;;;31846;2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA<=>2-oxepin-2(3H)-ylideneacetyl-CoA;2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA <- 2-Oxepin-2(3H)-ylideneacetyl-CoA
R09838;WP_020334267.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334267.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334267.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334267.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334267.1;2;A;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334268.1;3;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334268.1;3;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
R09838;WP_020334268.1;3;B;;32174;phenylacetyl-CoA+NADPH+O2+H(+)<=>2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA+NADP(+)+H2O;Oxygen + Phenylacetyl-CoA + H+ + NADPH -> 2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O
