Reaction	Condition	LB	UB	RID	System	Name	Flux
PPP1_v9	Glutamate	11.54585530718359	14.26191085499505	12556	PPP	PGL	12.655083318816441
PPP1_v9	Succinate	0.2393903186733946	0.3997313049199913	15841	PPP	G6PDH2r	0.3167615509005681
PPP1_v9	Succinate	0.2393903186733946	0.3997313049199913	12556	PPP	PGL	0.3167615509005681
PPP1_v9	Alanine	0.7158767102576286	1.059982881240362	15841	PPP	G6PDH2r	0.8514866873509431
PPP1_v9	Alanine	0.7158767102576286	1.059982881240362	12556	PPP	PGL	0.8514866873509431
PPP3_v11	Ribose	15.1489325943682	39.70319443110369	13677	PPP	RPE	25.983274198741398
PPP3_v11	Glucose	0.9151511972579841	1.3248344353384953	13677	PPP	RPE	1.0863657648579794
PPP3_v11	Glycerol	-0.3921290987135984	-0.19393887821247138	13677	PPP	RPE	-0.2891741782155411
PPP3_v11	Glutamate	6.937900705967516	8.740048784934107	13677	PPP	RPE	7.670879305194661
PPP3_v11	Succinate	-0.9417115965424369	-0.8175035654679239	13677	PPP	RPE	-0.8824848390186061
PPP3_v11	Alanine	-0.4558705157983245	-0.2651026305935635	13677	PPP	RPE	-0.38481257618892967
PPP4_v12	Ribose	-2.5785599869984765	5.201436060569771	14657	PPP	RPI	1.8480735612407573
PPP4_v12	Glucose	-2.801947646348824	-2.590542141615907	14657	PPP	RPI	-2.6823695422456004
PPP4_v12	Glycerol	-0.7349219033256256	-0.6075425814771336	14657	PPP	RPI	-0.6730004521810149
PPP4_v12	Glutamate	-5.345249515865161	-4.470958929382982	14657	PPP	RPI	-4.827832217003842
PPP4_v12	Succinate	-1.103614725129002	-1.0377541416372607	14657	PPP	RPI	-1.0697447709110997
PPP4_v12	Alanine	-1.0628824150719938	-0.9463548373350321	14657	PPP	RPI	-0.9966860048383472
ANA3_v33	Ribose	0.54730723794182	1.5019315627290524	18617	MISC	PPCK	1.0090480493301808
ANA3_v33	Glucose	-7.334910347919663	-1.827349715017376	28370	MISC	PPC	-5.18295097420298
ANA3_v33	Glycerol	-0.23979359165782527	0.026076985548520563	28370	MISC	PPC	-0.06696225201643248
ANA3_v33	Glutamate	-2.941707821157696	11.39003813663689	28370	MISC	PPC	-0.015440000675190387
