rhea,kegg
10693,R07353
10694,R07353
10695,R07353
45588,R01406
45589,R01406
45590,R01406
45591,R01406
10700,R05784
10701,R05784
10702,R05784
10703,R05784
10704,R03665
10705,R03665
10706,R03665
10707,R03665
10708,R00954
10709,R00954
10710,R00954
10711,R00954
10712,R00690
10713,R00690
10714,R00690
10715,R00690
10716,R07324
10717,R07324
10718,R07324
10719,R07324
10720,R03984
10721,R03984
10722,R03984
10723,R03984
10724,R03398
10725,R03398
10726,R03398
10727,R03398
10728,R03396
10729,R03396
10730,R03396
10731,R03396
10732,R04036
10733,R04036
10734,R04036
10735,R04036
14685,R00639
14686,R00639
14687,R00639
14688,R00639
10744,R01633
10745,R01633
10746,R01633
10747,R01633
10748,R00132
10749,R00132
10750,R00132
10751,R00132
10752,R09590
10753,R09590
10754,R09590
10755,R09590
10756,R00206
10757,R00206
10758,R00206
10759,R00206
10760,R00362
10761,R00362
10762,R00362
10763,R00362
10764,R05723
10765,R05723
10766,R05723
10767,R05723
10768,R07366
10769,R07366
10770,R07366
10771,R07366
10772,R00839
10773,R00839
10774,R00839
10775,R00839
10776,R03339
10777,R03339
10778,R03339
10779,R03339
35735,R10528
35736,R10528
35737,R10528
35738,R10528
10780,R03337
10781,R03337
10782,R03337
10783,R03337
10784,R10056
10785,R10056
10786,R10056
10787,R10056
60924,R09511
60925,R09511
60926,R09511
60927,R09511
10788,R02658
10789,R02658
10790,R02658
10791,R02658
10792,R04209
10793,R04209
10794,R04209
10795,R04209
10796,R03712
10797,R03712
10798,R03712
10799,R03712
10800,R02142
10801,R02142
10802,R02142
10803,R02142
10804,R03925
10805,R03925
10806,R03925
10807,R03925
10808,R08863
10809,R08863
10810,R08863
10811,R08863
30275,R03532
30276,R03532
30277,R03532
30278,R03532
10812,R05049
10813,R05049
10814,R05049
10815,R05049
16185,R00538
16186,R00538
16187,R00538
16188,R00538
10816,R04270
10817,R04270
10818,R04270
10819,R04270
10820,R02318
10821,R02318
10822,R02318
10823,R02318
10824,R00343
10825,R00343
10826,R00343
10827,R00343
42768,R10786
42769,R10786
42770,R10786
42771,R10786
10828,R00982
10829,R00982
10830,R00982
10831,R00982
10832,R07398
10833,R07398
10834,R07398
10835,R07398
10836,R02417
10837,R02417
10838,R02417
10839,R02417
10840,R01466
10841,R01466
10842,R01466
10843,R01466
10844,R01713
10845,R01713
10846,R01713
10847,R01713
10852,R08952
10853,R08952
10854,R08952
10855,R08952
10856,R04322
10857,R04322
10858,R04322
10859,R04322
13093,R01500
13094,R01500
13095,R01500
13096,R01500
10860,R03385
10861,R03385
10862,R03385
10863,R03385
10864,R03386
10865,R03386
10866,R03386
10867,R03386
10868,R02251
10869,R02251
10870,R02251
10871,R02251
10872,R00546
10873,R00546
10874,R00546
10875,R00546
10876,R01238
10877,R01238
10878,R01238
10879,R01238
10880,R07918
10881,R07918
10882,R07918
10883,R07918
10884,R03723
10885,R03723
10886,R03723
10887,R03723
10892,R04426
10893,R04426
10894,R04426
10895,R04426
10896,R03624
10897,R03624
10898,R03624
10899,R03624
10900,R03121
10901,R03121
10902,R03121
10903,R03121
10908,R07287
10909,R07287
10910,R07287
10911,R07287
10912,R02473
10913,R02473
10914,R02473
10915,R02473
10924,R04576
10925,R04576
10926,R04576
10927,R04576
10928,R06293
10929,R06293
10930,R06293
10931,R06293
10932,R01954
10933,R01954
10934,R01954
10935,R01954
10936,R07177
10937,R07177
10938,R07177
10939,R07177
10940,R06120
10941,R06120
10942,R06120
10943,R06120
10948,R01961
10949,R01961
10950,R01961
10951,R01961
10952,R03965
10953,R03965
10954,R03965
10955,R03965
10956,R02254
10957,R02254
10958,R02254
10959,R02254
10960,R01450
10961,R01450
10962,R01450
10963,R01450
10964,R01639
10965,R01639
10966,R01639
10967,R01639
10968,R00394
10969,R00394
10970,R00394
10971,R00394
10972,R03148
10973,R03148
10974,R03148
10975,R03148
10976,R05157
10977,R05157
10978,R05157
10979,R05157
10980,R00589
10981,R00589
10982,R00589
10983,R00589
10984,R01447
10985,R01447
10986,R01447
10987,R01447
10988,R00294
10989,R00294
10990,R00294
10991,R00294
10992,R00465
10993,R00465
10994,R00465
10995,R00465
10996,R04169
10997,R04169
10998,R04169
10999,R04169
11000,R02190
11001,R02190
11002,R02190
11003,R02190
11004,R00818
11005,R00818
11006,R00818
11007,R00818
11012,R00682
11013,R00682
11014,R00682
11015,R00682
11016,R02422
11017,R02422
11018,R02422
11019,R02422
11020,R03433
