ec,rhea
2.2.1.1,27629
1.1.1.166,10516
1.1.1.166,10517
1.1.1.166,10518
1.1.1.166,10519
2.4.1.241,10520
2.4.1.241,10521
2.4.1.241,10522
2.4.1.241,10523
4.1.1.71,10524
4.1.1.71,10525
4.1.1.71,10526
4.1.1.71,10527
1.14.14.100,10528
1.14.14.100,10529
1.14.14.100,10530
1.14.14.100,10531
4.2.1.20,10532
4.2.1.20,10533
4.2.1.20,10534
4.2.1.20,10535
3.1.6.10,10536
3.1.6.10,10537
3.1.6.10,10538
3.1.6.10,10539
4.1.2.25,10540
4.1.2.25,10541
4.1.2.25,10542
4.1.2.25,10543
1.13.12.1,10548
1.13.12.1,10549
1.13.12.1,10550
1.13.12.1,10551
1.1.3.10,10552
1.1.3.10,10553
1.1.3.10,10554
1.1.3.10,10555
2.5.1.66,10556
2.5.1.66,10557
2.5.1.66,10558
2.5.1.66,10559
3.5.4.22,10560
3.5.4.22,10561
3.5.4.22,10562
3.5.4.22,10563
3.1.1.44,10564
3.1.1.44,10565
3.1.1.44,10566
3.1.1.44,10567
2.4.1.189,10568
2.4.1.189,10569
2.4.1.189,10570
2.4.1.189,10571
5.3.3.3,10572
5.3.3.3,10573
5.3.3.3,10574
5.3.3.3,10575
2.7.7.57,10576
2.7.7.57,10577
2.7.7.57,10578
2.7.7.57,10579
6.3.2.17,10580
6.3.2.17,10581
6.3.2.17,10582
6.3.2.17,10583
6.3.2.17,51904
6.3.2.17,51905
6.3.2.17,51906
6.3.2.17,51907
6.3.2.17,51912
6.3.2.17,51913
6.3.2.17,51914
6.3.2.17,51915
2.3.1.170,10584
2.3.1.170,10585
2.3.1.170,10586
2.3.1.170,10587
2.3.1.111,10588
2.3.1.111,10589
2.3.1.111,10590
2.3.1.111,10591
2.3.1.111,50352
2.3.1.111,50353
2.3.1.111,50354
2.3.1.111,50355
2.7.10.1,10596
2.7.10.1,10597
2.7.10.1,10598
2.7.10.1,10599
2.7.10.2,10596
2.7.10.2,10597
2.7.10.2,10598
2.7.10.2,10599
2.7.12.1,10596
2.7.12.1,10597
2.7.12.1,10598
2.7.12.1,10599
2.7.12.1,17989
2.7.12.1,17990
2.7.12.1,17991
2.7.12.1,17992
2.7.12.1,46608
2.7.12.1,46609
2.7.12.1,46610
2.7.12.1,46611
2.7.12.2,10596
2.7.12.2,10597
2.7.12.2,10598
2.7.12.2,10599
2.7.12.2,17989
2.7.12.2,17990
2.7.12.2,17991
2.7.12.2,17992
2.7.12.2,46608
2.7.12.2,46609
2.7.12.2,46610
2.7.12.2,46611
2.7.10.3,10596
2.7.10.3,10597
2.7.10.3,10598
2.7.10.3,10599
5.3.99.2,10600
5.3.99.2,10601
5.3.99.2,10602
5.3.99.2,10603
3.1.4.3,10604
3.1.4.3,10605
3.1.4.3,10606
3.1.4.3,10607
1.14.14.91,10608
1.14.14.91,10609
1.14.14.91,10610
1.14.14.91,10611
2.4.2.38,10612
2.4.2.38,10613
2.4.2.38,10614
2.4.2.38,10615
1.17.1.3,10616
1.17.1.3,10617
1.17.1.3,10618
1.17.1.3,10619
1.2.1.44,10620
1.2.1.44,10621
1.2.1.44,10622
1.2.1.44,10623
1.2.1.44,64648
1.2.1.44,64649
1.2.1.44,64650
1.2.1.44,64651
1.2.1.44,64652
1.2.1.44,64653
1.2.1.44,64654
1.2.1.44,64655
1.2.1.44,64656
1.2.1.44,64657
1.2.1.44,64658
1.2.1.44,64659
2.7.7.56,10628
2.7.7.56,10629
2.7.7.56,10630
2.7.7.56,10631
1.1.1.131,10632
1.1.1.131,10633
1.1.1.131,10634
1.1.1.131,10635
1.1.1.131,10636
1.1.1.131,10637
1.1.1.131,10638
1.1.1.131,10639
3.1.1.57,10644
3.1.1.57,10645
3.1.1.57,10646
3.1.1.57,10647
1.2.1.48,10652
1.2.1.48,10653
1.2.1.48,10654
1.2.1.48,10655
2.1.1.2,10656
2.1.1.2,10657
2.1.1.2,10658
2.1.1.2,10659
5.1.1.16,10660
5.1.1.16,10661
5.1.1.16,10662
5.1.1.16,10663
1.1.1.144,10664
1.1.1.144,10665
1.1.1.144,10666
1.1.1.144,10667
2.3.2.3,10668
2.3.2.3,10669
2.3.2.3,10670
2.3.2.3,10671
4.1.99.3,10672
4.1.99.3,10673
4.1.99.3,10674
4.1.99.3,10675
5.1.1.4,10680
5.1.1.4,10681
5.1.1.4,10682
5.1.1.4,10683
3.1.3.48,10684
3.1.3.48,10685
3.1.3.48,10686
3.1.3.48,10687
3.1.3.39,10688
3.1.3.39,10689
3.1.3.39,10690
3.1.3.39,10691
1.3.3.11,10692
1.3.3.11,10693
1.3.3.11,10694
1.3.3.11,10695
6.2.1.49,10696
6.2.1.49,10697
6.2.1.49,10698
6.2.1.49,10699
3.3.2.8,10700
3.3.2.8,10701
3.3.2.8,10702
3.3.2.8,10703
6.1.1.9,10704
6.1.1.9,10705
6.1.1.9,10706
6.1.1.9,10707
2.7.7.34,10708
2.7.7.34,10709
2.7.7.34,10710
2.7.7.34,10711
1.13.12.9,10712
1.13.12.9,10713
1.13.12.9,10714
1.13.12.9,10715
5.5.1.4,10716
5.5.1.4,10717
5.5.1.4,10718
5.5.1.4,10719
1.5.4.1,10720
1.5.4.1,10721
1.5.4.1,10722
1.5.4.1,10723
1.1.1.135,10724
1.1.1.135,10725
1.1.1.135,10726
1.1.1.135,10727
1.1.1.135,10728
1.1.1.135,10729
1.1.1.135,10730
1.1.1.135,10731
1.1.1.187,10724
1.1.1.187,10725
1.1.1.187,10726
1.1.1.187,10727
1.1.1.187,10728
1.1.1.187,10729
1.1.1.187,10730
1.1.1.187,10731
1.1.1.187,13825
1.1.1.187,13826
1.1.1.187,13827
1.1.1.187,13828
1.1.1.187,13829
1.1.1.187,13830
1.1.1.187,13831
1.1.1.187,13832
1.13.12.7,10732
1.13.12.7,10733
1.13.12.7,10734
1.13.12.7,10735
1.1.1.1,10740
1.1.1.1,10741
1.1.1.1,10742
1.1.1.1,10743
1.1.1.1,10736
1.1.1.1,10737
1.1.1.1,10738
1.1.1.1,10739
1.1.1.1,25290
1.1.1.1,25291
1.1.1.1,25292
1.1.1.1,25293
1.1.1.71,15937
1.1.1.71,15938
1.1.1.71,15939
1.1.1.71,15940
1.1.1.71,10736
1.1.1.71,10737
1.1.1.71,10738
1.1.1.71,10739
1.3.1.53,10744
1.3.1.53,10745
1.3.1.53,10746
1.3.1.53,10747
4.2.1.1,10748
4.2.1.1,10749
4.2.1.1,10750
4.2.1.1,10751
6.3.1.12,10752
6.3.1.12,10753
6.3.1.12,10754
6.3.1.12,10755
2.7.9.1,10756
2.7.9.1,10757
2.7.9.1,10758
2.7.9.1,10759
2.7.9.1,43684
2.7.9.1,43685
2.7.9.1,43686
2.7.9.1,43687
2.7.9.1,43688
2.7.9.1,43689
2.7.9.1,43690
2.7.9.1,43691
4.1.3.6,10760
4.1.3.6,10761
4.1.3.6,10762
4.1.3.6,10763
1.14.20.4,10764
1.14.20.4,10765
1.14.20.4,10766
1.14.20.4,10767
1.14.20.4,10768
1.14.20.4,10769
1.14.20.4,10770
1.14.20.4,10771
1.14.20.4,54432
1.14.20.4,54433
1.14.20.4,54434
1.14.20.4,54435
3.2.1.86,10772
3.2.1.86,10773
3.2.1.86,10774
3.2.1.86,10775
1.1.1.237,10776
1.1.1.237,10777
1.1.1.237,10778
1.1.1.237,10779
1.1.1.237,10780
1.1.1.237,10781
1.1.1.237,10782
1.1.1.237,10783
1.1.1.237,57408
1.1.1.237,57409
1.1.1.237,57410
1.1.1.237,57411
1.1.1.237,57704
1.1.1.237,57705
1.1.1.237,57706
1.1.1.237,57707
1.1.1.110,10780
1.1.1.110,10781
1.1.1.110,10782
1.1.1.110,10783
1.1.1.110,20133
1.1.1.110,20134
1.1.1.110,20135
1.1.1.110,20136
1.1.1.110,38351
1.1.1.110,38352
1.1.1.110,38353
1.1.1.110,38354
1.1.1.96,10780
1.1.1.96,10781
1.1.1.96,10782
1.1.1.96,10783
1.1.1.96,20293
1.1.1.96,20294
1.1.1.96,20295
1.1.1.96,20296
2.7.1.13,10788
2.7.1.13,10789
2.7.1.13,10790
2.7.1.13,10791
4.1.1.21,10792
4.1.1.21,10793
4.1.1.21,10794
4.1.1.21,10795
1.14.13.32,10796
1.14.13.32,10797
1.14.13.32,10798
1.14.13.32,10799
2.4.2.22,10800
2.4.2.22,10801
2.4.2.22,10802
2.4.2.22,10803
5.1.99.3,10804
5.1.99.3,10805
5.1.99.3,10806
5.1.99.3,10807
1.11.1.23,10808
1.11.1.23,10809
1.11.1.23,10810
1.11.1.23,10811
1.2.1.71,10812
1.2.1.71,10813
1.2.1.71,10814
