bigg_id,rhea
FBP,11066
FBP,11067
FCLK,12376
FCLK,12377
FCLK,12378
FCLK,12379
FCLT,22584
FCLT,22585
FCLT,22586
FCLT,22587
FDH4pp,29075
FDH4pp,29076
FDH4pp,29077
FDH4pp,29078
FDMO2,29307
FDMO2,29308
FDMO2,29309
FDMO2,29310
FDMO3,29727
FDMO3,29728
FDMO3,29729
FDMO3,29730
FE2t2pp,29579
FE2t2pp,29580
FE2t2pp,29581
FE2t2pp,29582
FE2tex,28486
FE2tex,28487
FE2tex,28488
FE2tex,28489
FE2tpp,28486
FE2tpp,28487
FE2tpp,28488
FE2tpp,28489
FE3Ri,30155
FE3Ri,30156
FE3Ri,30157
FE3Ri,30158
FE3tex,34971
FE3tex,34972
FE3tex,34973
FE3tex,34974
FORCT,16545
FORCT,16546
FORCT,16547
FORCT,16548
FORtex,29679
FORtex,29680
FORtex,29681
FORtex,29682
FORtppi,29679
FORtppi,29680
FORtppi,29681
FORtppi,29682
FRD2,29215
FRD2,29216
FRD2,29217
FRD2,29218
FRUURt2rpp,28871
FRUURt2rpp,28872
FRUURt2rpp,28873
FRUURt2rpp,28874
FTHFLi,20221
FTHFLi,20222
FTHFLi,20223
FTHFLi,20224
FUM,12460
FUM,12461
FUM,12462
FUM,12463
FUSAtex,35103
FUSAtex,35104
FUSAtex,35105
FUSAtex,35106
G1PPpp,19933
G1PPpp,19934
G1PPpp,19935
G1PPpp,19936
G1PTT,15225
G1PTT,15226
G1PTT,15227
G1PTT,15228
G1SAT,14265
G1SAT,14266
G1SAT,14267
G1SAT,14268
G3PD5,28751
G3PD5,28752
G3PD5,28753
G3PD5,28754
G3PItex,32915
G3PItex,32916
G3PItex,32917
G3PItex,32918
G6PDH2r,15841
G6PDH2r,15842
G6PDH2r,15843
G6PDH2r,15844
G6PP,16689
G6PP,16690
G6PP,16691
G6PP,16692
GALCTD,16005
GALCTD,16006
GALCTD,16007
GALCTD,16008
GALM2pp,28675
GALM2pp,28676
GALM2pp,28677
GALM2pp,28678
GALt2pp,29019
GALt2pp,29020
GALt2pp,29021
GALt2pp,29022
GART,24829
GART,24830
GART,24831
GART,24832
GBBTNtex,32835
GBBTNtex,32836
GBBTNtex,32837
GBBTNtex,32838
GDPMNP,27978
GDPMNP,27979
GDPMNP,27980
GDPMNP,27981
GGGABAH,19737
GGGABAH,19738
GGGABAH,19739
GGGABAH,19740
GHMT2r,15481
GHMT2r,15482
GHMT2r,15483
GHMT2r,15484
GLCRAL,27726
GLCRAL,27727
GLCRAL,27728
GLCRAL,27729
GLCRD,14573
GLCRD,14574
GLCRD,14575
GLCRD,14576
GLGC,12120
GLGC,12121
GLGC,12122
GLGC,12123
GLNS,16169
GLNS,16170
GLNS,16171
GLNS,16172
GLUCYS,13285
GLUCYS,13286
GLUCYS,13287
GLUCYS,13288
GLUDC,17785
GLUDC,17786
GLUDC,17787
GLUDC,17788
GLUNpp,15889
GLUNpp,15890
GLUNpp,15891
GLUNpp,15892
GLUPRT,14905
GLUPRT,14906
GLUPRT,14907
GLUPRT,14908
GLUR,12813
GLUR,12814
GLUR,12815
GLUR,12816
GLUSy,15501
GLUSy,15502
GLUSy,15503
GLUSy,15504
GLUabcpp,29035
GLUabcpp,29036
GLUabcpp,29037
GLUabcpp,29038
GLXCL,10136
GLXCL,10137
GLXCL,10138
GLXCL,10139
GLYBabcpp,32783
GLYBabcpp,32784
GLYBabcpp,32785
GLYBabcpp,32786
GLYBtex,28943
GLYBtex,28944
GLYBtex,28945
GLYBtex,28946
GLYC3Pt6pp,29015
GLYC3Pt6pp,29016
GLYC3Pt6pp,29017
GLYC3Pt6pp,29018
GLYCDx,13769
GLYCDx,13770
GLYCDx,13771
GLYCDx,13772
GLYCK,23516
GLYCK,23517
GLYCK,23518
GLYCK,23519
GLYCK2,27377
GLYCK2,27378
GLYCK2,27379
GLYCK2,27380
GLYCL,27758
GLYCL,27759
GLYCL,27760
GLYCL,27761
GLYCLTDx,18229
GLYCLTDx,18230
GLYCLTDx,18231
GLYCLTDx,18232
GLYCLTtex,29447
GLYCLTtex,29448
GLYCLTtex,29449
GLYCLTtex,29450
GLYCtex,29675
GLYCtex,29676
GLYCtex,29677
GLYCtex,29678
GLYK,21644
GLYK,21645
GLYK,21646
GLYK,21647
GLYOX,25245
GLYOX,25246
GLYOX,25247
GLYOX,25248
GLYOX3,27754
GLYOX3,27755
GLYOX3,27756
GLYOX3,27757
GLYt2pp,28899
GLYt2pp,28900
GLYt2pp,28901
GLYt2pp,28902
GMAND,23820
GMAND,23821
GMAND,23822
GMAND,23823
GMHEPAT,27465
GMHEPAT,27466
GMHEPAT,27467
GMHEPAT,27468
GMPR,17185
GMPR,17186
GMPR,17187
GMPR,17188
GMPS2,11680
GMPS2,11681
GMPS2,11682
GMPS2,11683
GND,10116
GND,10117
GND,10118
GND,10119
GP4GH,30203
GP4GH,30204
GP4GH,30205
GP4GH,30206
GPDDA1pp,16061
GPDDA1pp,16062
GPDDA1pp,16063
GPDDA1pp,16064
GPDDA2,29319
GPDDA2,29320
GPDDA2,29321
GPDDA2,29322
GPDDA3,29875
GPDDA3,29876
GPDDA3,29877
GPDDA3,29878
GPDDA3pp,29875
GPDDA3pp,29876
GPDDA3pp,29877
GPDDA3pp,29878
GPDDA5,16501
GPDDA5,16502
GPDDA5,16503
GPDDA5,16504
GPDDA5pp,16501
GPDDA5pp,16502
GPDDA5pp,16503
GPDDA5pp,16504
GRTT,19361
GRTT,19362
GRTT,19363
GRTT,19364
GSNK,27710
GSNK,27711
GSNK,27712
GSNK,27713
GSPMDA,17173
GSPMDA,17174
GSPMDA,17175
GSPMDA,17176
GTHOr,11740
GTHOr,11741
GTHOr,11742
GTHOr,11743
GTHRDabc2pp,29787
GTHRDabc2pp,29788
GTHRDabc2pp,29789
GTHRDabc2pp,29790
GTHRDabc2pp,29791
GTHRDabc2pp,29792
GTHRDabc2pp,29793
GTHRDabc2pp,29794
GTHRDabcpp,29787
GTHRDabcpp,29788
GTHRDabcpp,29789
GTHRDabcpp,29790
GTHRDabcpp,29791
GTHRDabcpp,29792
GTHRDabcpp,29793
GTHRDabcpp,29794
GTHS,13557
GTHS,13558
GTHS,13559
GTHS,13560
GTPCI,17473
GTPCI,17474
GTPCI,17475
GTPCI,17476
GTPCII2,23704
GTPCII2,23705
GTPCII2,23706
GTPCII2,23707
GTPDPK,22088
GTPDPK,22089
GTPDPK,22090
GTPDPK,22091
GUAPRT,25424
GUAPRT,25425
GUAPRT,25426
GUAPRT,25427
GUI1,13049
GUI1,13050
GUI1,13051
GUI1,13052
HACD4,31187
HACD4,31188
HACD4,31189
HACD4,31190
HACD5,31179
HACD5,31180
HACD5,31181
HACD5,31182
HACD7,31159
HACD7,31160
HACD7,31161
HACD7,31162
HBZOPT,27782
HBZOPT,27783
HBZOPT,27784
HBZOPT,27785
HCYSMT,21820
HCYSMT,21821
HCYSMT,21822
HCYSMT,21823
HCYSMT2,26337
HCYSMT2,26338
HCYSMT2,26339
HCYSMT2,26340
HEMEOS,28070
HEMEOS,28071
HEMEOS,28072
HEMEOS,28073
HEPT2,28538
HEPT2,28539
HEPT2,28540
HEPT2,28541
HEX4,11028
HEX4,11029
HEX4,11030
HEX4,11031
HISTD,20641
HISTD,20642
HISTD,20643
HISTD,20644
HISabcpp,29891
HISabcpp,29892
HISabcpp,29893
HISabcpp,29894
HISt2rpp,37047
HISt2rpp,37048
HISt2rpp,37049
HISt2rpp,37050
HMBS,13185
HMBS,13186
HMBS,13187
HMBS,13188
HPPPNDO,23840
HPPPNDO,23841
HPPPNDO,23842
HPPPNDO,23843
HPPPNt2rpp,28907
HPPPNt2rpp,28908
HPPPNt2rpp,28909
HPPPNt2rpp,28910
HPYRRx,17905
HPYRRx,17906
HPYRRx,17907
HPYRRx,17908
HSK,13985
HSK,13986
HSK,13987
HSK,13988
HSST,22008
HSST,22009
HSST,22010
HSST,22011
HSTPT,23744
HSTPT,23745
HSTPT,23746
HSTPT,23747
HYPOE,25135
HYPOE,25136
HYPOE,25137
HYPOE,25138
Htex,34979
Htex,34980
Htex,34981
Htex,34982
ICHORS,18985
ICHORS,18986
ICHORS,18987
ICHORS,18988
IDOND,21172
IDOND,21173
IDOND,21174
IDOND,21175
IDOND2,21176
IDOND2,21177
IDOND2,21178
IDOND2,21179
IG3PS,24793
IG3PS,24794
IG3PS,24795
IG3PS,24796
IGPDH,11040
IGPDH,11041
