Gene,Name
PN96_RS18915,paaB
PN96_RS18920,paaC
PN96_RS18925,paaD
PN96_RS18930,paaE
PN96_RS18935,paaF
PN96_RS18940,paaG
PN96_RS18945,paaH
PN96_RS18950,paaI
PN96_RS18955,paaJ
PN96_RS18960,paaK
PN96_RS19035,guaD
PN96_RS19070,gntT
PN96_RS19160,livG
PN96_RS19165,fadD
PN96_RS19170,livH
PN96_RS19175,livM
PN96_RS19185,livF
PN96_RS19190,paaK
PN96_RS19250,ycjG
PN96_RS19260,metE
PN96_RS19280,leuA
PN96_RS19315,betB
PN96_RS19340,fabG
PN96_RS19365,proW
PN96_RS19370,proV
PN96_RS19415,garP
PN96_RS19420,nirD
PN96_RS19425,nirB
PN96_RS19430,cysG
PN96_RS19555,gntK
PN96_RS19560,yiaN
PN96_RS19570,yiaO
PN96_RS19575,leuE
PN96_RS19620,rnfA
PN96_RS19625,rnfB
PN96_RS19630,rnfC
PN96_RS19635,rnfD
PN96_RS19640,rnfG
PN96_RS19645,rnfE
PN96_RS19650,ratB
PN96_RS19725,mqo
PN96_RS19730,aspA
PN96_RS19735,putP
PN96_RS19745,putA
PN96_RS19780,gabD
PN96_RS19840,dapA
PN96_RS19845,puuC
PN96_RS19870,leuA
PN96_RS19950,rbsD
PN96_RS19955,rbsA
PN96_RS19960,rbsC
PN96_RS19965,rbsB
PN96_RS19970,rbsK
PN96_RS20010,mgsA
PN96_RS20115,dcuC
PN96_RS20200,nudG
PN96_RS20210,ybhI
PN96_RS20265,yiaN
PN96_RS20270,yiaM
PN96_RS20275,yiaO
PN96_RS20295,ydiF
PN96_RS20300,fabG
PN96_RS20420,qorB
PN96_RS20435,yiaN
PN96_RS20440,yiaO
PN96_RS20485,ltaE
PN96_RS20490,nudK
PN96_RS20515,dld
PN96_RS20525,ygaZ
PN96_RS20595,nirB
PN96_RS20600,nirD
PN96_RS20605,focA
PN96_RS20610,cysG
PN96_RS20625,dcuB
PN96_RS20655,fabH
PN96_RS20735,nrdD
PN96_RS20755,aspC
PN96_RS20770,cobQ
PN96_RS20820,pntA
PN96_RS20825,pntB
PN96_RS20885,ddlA
PN96_RS20905,galE
PN96_RS21040,ushA
PN96_RS21060,focA
PN96_RS21125,gsk
PN96_RS21135,glgC
