Protein,Stoichiometry,Isozyme,Rhea
PN96_RS07445,2,A,16573
PN96_RS01100,4,A,16597
PN96_RS14475,4,A,16601
PN96_RS19730,4,B,16601
PN96_RS12615,12,A,16793
PN96_RS05425,4,A,16809
PN96_RS03490,4,A,16825
PN96_RS18100,1,A,16833
PN96_RS09420,6,A,16845
PN96_RS07950,4,A,16853
PN96_RS08020,2,A,16861
PN96_RS14210,1,A,16881
PN96_RS18435,1,B,16881
PN96_RS05295,1,A,16901
PN96_RS00040,1,A,16913
PN96_RS18415,1,A,17053
PN96_RS16775,3,B,17089
PN96_RS13230,3,A,17089
PN96_RS08005,1,A,17105
PN96_RS10330,1,A,17129
PN96_RS18490,4,A,17185
PN96_RS21835,6,A,17233
PN96_RS13245,1,A,17277
PN96_RS16045,1,B,17281
PN96_RS05305,1,A,17281
PN96_RS02000,3,A,17325
PN96_RS06030,1,A,17417
PN96_RS00175,1,A,17453
PN96_RS18455,10,A,17473
PN96_RS16250,1,A,17601
PN96_RS17085,4,A,17641
PN96_RS08130,1,A,17649
PN96_RS13770,2,A,17737
PN96_RS18770,2,B,17737
PN96_RS01275,2,A,17753
PN96_RS15300,1,A,17769
PN96_RS15510,1,A,17801
PN96_RS02350,3,A,17817
PN96_RS22705,1,A,17825
PN96_RS10255,2,A,17845
PN96_RS00455,1,A,17905
PN96_RS22385,1,A,17921
PN96_RS01460,1,A,17941
PN96_RS01385,4,A,17973
PN96_RS05090,1,A,18037
PN96_RS14820,2,A,18049
PN96_RS18955,1,A,18161
PN96_RS16775,3,B,18169
PN96_RS13230,3,A,18169
PN96_RS10730,1,A,18181
PN96_RS00455,1,A,18229
PN96_RS13765,2,A,18257
PN96_RS10570,2,A,18301
PN96_RS21300,6,A,18321
PN96_RS08050,1,A,18405
PN96_RS09865,2,A,18437
PN96_RS00180,1,A,18445
PN96_RS10245,2,A,18457
PN96_RS18105,2,B,18457
PN96_RS07905,2,A,18473
PN96_RS12250,2,A,18585
PN96_RS12890,1,A,18617
PN96_RS00555,1,A,18681
PN96_RS01780,1,A,18793
PN96_RS02950,2,A,18829
PN96_RS14045,1,A,18965
PN96_RS01970,1,A,18977
PN96_RS09030,2,A,18985
PN96_RS09220,1,B,18985
PN96_RS01015,1,A,19025
PN96_RS03285,2,A,19069
PN96_RS04960,2,B,19069
PN96_RS16825,2,C,19069
PN96_RS21510,2,D,19069
PN96_RS19780,1,A,19105
PN96_RS00280,1,A,19125
PN96_RS07840,4,A,19129
