locustag,Desc
PN96_RS20020,torS
PN96_RS20040,atsA
PN96_RS20045,atsB
PN96_RS20050,moxR
PN96_RS20065,yfbK
PN96_RS20070,yfbK
PN96_RS20095,oxlT
PN96_RS20110,lemA
PN96_RS20120,scd
PN96_RS20130,cqsS
PN96_RS20135,rbgA
PN96_RS20140,evgS
PN96_RS20150,evgA
PN96_RS20165,fimZ
PN96_RS20200,nudB
PN96_RS20205,rimL
PN96_RS20225,dpiA
PN96_RS20230,prdX
PN96_RS20235,mgsC
PN96_RS20240,katG
PN96_RS20285,narL
PN96_RS20295,pct
PN96_RS20300,fabG
PN96_RS20350,pvdQ
PN96_RS20365,baeS
PN96_RS20370,baeR
PN96_RS20380,ohrR
PN96_RS20390,sbcD
PN96_RS20395,sbcC
PN96_RS20420,qorB
PN96_RS20430,yiaM
PN96_RS20440,dctP
PN96_RS20445,ooxB
PN96_RS20455,ooxA
PN96_RS20470,apoD
PN96_RS20485,ltaE
PN96_RS20490,nudF
PN96_RS20495,moxR
PN96_RS20515,dld
PN96_RS20520,azlD
PN96_RS20525,azlC
PN96_RS20590,rnk
PN96_RS20595,nirB
PN96_RS20600,nirD
PN96_RS20605,fdhC
PN96_RS20610,cobA
PN96_RS20625,dcuB
PN96_RS20650,trxC
PN96_RS20655,fabH
PN96_RS20670,hmgcr
PN96_RS20675,fdhD
PN96_RS20735,nrdD
PN96_RS20740,nrdG
PN96_RS20745,dinF
PN96_RS20755,aspC
PN96_RS20770,cobQ
PN96_RS20775,modA
PN96_RS20780,modB
PN96_RS20785,modC
PN96_RS20820,pntA
PN96_RS20825,pntB
PN96_RS20885,ddl
PN96_RS20895,yfiQ
PN96_RS20905,galE
PN96_RS20915,pxpA
PN96_RS20945,tesA
PN96_RS20950,fabV
PN96_RS20955,cdgC
PN96_RS20975,yjdF
PN96_RS20980,cutA
PN96_RS20990,sgrR
PN96_RS21000,menI
PN96_RS21010,yydH
PN96_RS21015,fadL
PN96_RS21025,phnA
PN96_RS21045,ybjD
PN96_RS21060,focA
PN96_RS21090,rhlE
PN96_RS21095,acpH
PN96_RS21100,mcp
PN96_RS21120,creA
PN96_RS21125,gsk
PN96_RS21130,fhs
PN96_RS21135,glgC
PN96_RS21140,endO
PN96_RS21150,yqhD
PN96_RS21180,rlbA
PN96_RS21195,fruB
PN96_RS21200,fruK
PN96_RS21205,fruA
PN96_RS21230,gcvT
PN96_RS21240,glyA
PN96_RS21245,gcvH
PN96_RS21250,gldC
PN96_RS21305,aotJ
PN96_RS21315,sdaC
PN96_RS21340,pccA
PN96_RS21345,yegD
PN96_RS21360,bckdha
PN96_RS21365,bckdhb
PN96_RS21370,dbt
